種別,名称,住所,x座標,y座標
"津波避難ビル","ホテル アストンプラザ姫路","飾磨区中島763-1","134.6794302","34.79420054"
"津波避難ビル","飾磨消防署　大的出張所","的形町的形1804番地4","134.7462333","34.77978333"
"津波避難ビル","ラウンドワン姫路飾磨店立体駐車場","飾磨区中島一丁目254","134.6871775","34.79231784"
"津波避難ビル","イオンモール姫路リバーシティーショッピングセンター　立体駐車場","飾磨区細江520","134.6684863","34.79813097"
"津波避難ビル","イトーヨーカドー 広畑店立体駐車場","広畑区夢前町1-1","134.63705","34.79685579"
"津波避難ビル","飾磨大和会館 立体駐車場","飾磨区細江580","134.6644357","34.79861686"
"津波避難場所","国道250号線（八家峠）","姫路市的形町的形～八家","134.729647","34.7806452"
"津波避難場所","飾磨臨海大橋","飾磨区細江","134.6649349","34.78895183"
"津波避難ビル","ホームセンタームサシ 姫路店","広畑区夢前町3丁目1-7","134.6408826","34.79617289"
"津波避難場所","宇佐崎跨線橋","白浜町宇佐崎中","134.717663","34.78564962"
"津波避難場所","飾磨大橋","飾磨区中島～飾磨区御幸","134.6733608","34.79619224"
"津波避難場所","中島臨海橋","飾磨区中島","134.6675439","34.77052339"
"津波避難場所","網干臨海大橋","網干区興浜","134.5852373","34.76971053"
"津波避難場所","市川浜手大橋","飾磨区中島～飾磨区妻鹿","134.6878607","34.78795927"
"津波避難ビル","ニトリ　姫路広畑店","広畑区夢前町1丁目2-3","134.6383919","34.79610189"
"津波避難場所","飾磨港大橋","飾磨区構～飾磨区細江","134.6599473","34.79477617"
"津波避難場所","中島阿成跨線橋","飾磨区阿成鹿古","134.6865158","34.79541863"
